f0,f1,f2,f3,f4,f5,f6,f7,label
-0.1441,-0.1729,-0.1113,0.7020,-0.1276,-1.4974,0.3323,-0.2673,1
0.4348,0.0880,0.1476,1.3494,-1.4707,-0.5956,-0.3140,-0.9946,1
-1.5419,-0.9686,1.8090,0.0739,-0.2920,-0.8640,1.4049,2.0807,1
0.7829,0.5856,-0.5807,0.7112,-0.0272,0.2968,-0.4997,0.1302,1
0.7330,0.3958,-1.4379,-1.5053,-0.4217,0.4992,1.3331,0.6228,1
1.9579,-0.1823,0.6536,-0.7275,-1.8149,0.5470,0.4888,0.7993,1
-0.4522,-1.4480,1.2792,0.6158,-0.7322,-0.1595,-0.7711,0.1863,0
-0.7683,-1.7637,0.1173,-0.7117,0.8530,0.1744,-0.0766,0.6842,1
0.2736,1.1438,1.0745,-0.9511,0.3419,0.4288,-0.0392,-1.2438,1
0.8087,-0.6047,0.6640,3.4018,-0.4358,-0.0261,0.4610,0.1406,0
0.2737,-1.0109,0.9034,0.3810,1.2269,-0.0299,1.9531,-0.3589,0
-0.2092,-0.4467,1.2491,-1.1042,0.1063,-0.9057,-0.1584,0.5650,0
1.9573,-0.5845,-0.0990,1.1742,0.9570,1.9898,0.5784,-0.6119,0
0.9721,1.3894,-1.6837,-0.4253,-0.0332,-0.0064,-0.0891,0.1772,1
1.3657,-1.3033,-0.1221,0.3231,1.7457,-1.6809,0.9906,0.5914,0
1.2217,-0.1701,1.0333,1.0433,0.5676,-0.1969,-1.3454,-0.2363,0
1.5132,-0.7247,-0.5828,-1.4685,-1.2019,0.8849,-1.5010,1.5311,1
0.5170,0.4917,-0.7003,1.1334,0.0879,0.6998,1.2741,0.6093,0
0.2303,0.1038,-0.5817,1.0514,-0.2052,1.1343,-1.5547,-0.3912,1
0.0498,1.1307,-0.3714,0.2454,-0.5062,-0.7865,-1.6934,1.0583,0
-1.3335,-2.5520,0.8271,0.5885,-1.0584,1.6841,0.0055,0.6496,1
0.4053,0.4911,-1.9814,0.4740,1.6168,0.8287,0.2804,-0.3570,0
2.2409,-0.4421,0.3505,-0.4908,-0.6907,0.0625,-0.2826,0.2025,1
0.9949,0.0135,1.5701,-0.7812,-0.3393,1.5067,-0.2137,-1.7359,1
0.4725,0.6933,1.2904,-0.2570,-1.6023,-0.4350,1.2402,0.4657,0
1.1155,0.4166,0.2240,-0.3029,1.8109,0.8240,-1.9609,1.3548,0
-0.2505,-0.1355,1.2737,0.7210,-0.7999,-0.3475,-0.1006,1.4851,1
0.0713,1.0013,-0.3990,-0.7444,-0.6744,1.5273,0.9942,0.4874,0
0.6203,0.3076,-0.2219,2.3162,1.5066,-1.3995,-0.3998,0.4283,1
-2.2556,-1.9064,-0.0711,-0.1032,0.3452,-0.7697,-1.2242,-2.0230,0
-0.1906,2.0912,-0.0277,-0.5806,-0.1363,0.6741,-0.8404,1.2728,1
-0.7601,-0.0258,0.2706,-0.1762,-1.2499,-1.4050,0.8665,0.2464,0
-0.5076,-0.5914,-0.0698,-1.2648,-0.1253,0.0612,1.8447,0.9435,0
-1.8197,-0.5360,-0.4918,-0.2805,0.5977,0.6163,1.4361,-1.0575,0
0.5529,-0.4074,0.0014,0.4658,0.3905,-2.0392,-1.1583,0.7726,0
0.6565,-0.3306,0.9372,1.5295,0.4562,0.9246,0.9761,2.0528,1
0.6440,-1.8911,0.2935,-0.7311,0.1113,-0.4652,1.3735,-1.4233,0
0.6976,2.1276,-1.0863,1.5019,0.4905,-0.5137,-0.5401,-0.8514,1
1.7185,-1.9653,-0.2607,1.4084,-2.2766,1.6611,-2.3057,-0.5339,0
0.5572,-0.5431,-2.5065,-1.3901,1.3087,0.3208,-0.9939,1.4490,1
-0.9401,-0.7407,-0.9845,0.8658,-0.0466,1.5701,2.2793,0.0242,0
-0.2505,0.2869,-0.4594,-0.7684,-0.7588,1.7867,-0.1596,-0.8299,1
-0.4432,-0.7702,-0.4141,-1.2022,0.5284,1.3811,-1.2044,1.1433,0
-0.6329,-0.5617,-0.0272,-0.0085,-0.2437,1.0317,-1.2780,-0.7024,1
-1.4013,0.5367,-1.7725,-0.1246,1.5803,-0.4075,-0.4428,-0.6867,1
2.0522,1.3645,0.0818,0.8583,0.1965,-0.5294,2.7541,0.8230,0
-2.0033,0.5763,-1.4153,-0.7287,-0.7535,0.6729,0.9154,1.2203,0
0.1248,-0.6916,0.5145,-1.4547,-1.2453,0.2820,0.4418,-0.2521,0
0.4712,-1.4074,1.3415,-0.1022,2.0043,-0.6507,-1.2111,-1.0364,1
0.6110,-1.1020,1.3177,-0.9931,-0.7648,0.1227,0.0247,1.4247,1
-0.5603,-0.5728,0.7250,0.3838,-0.1194,0.8696,-0.5285,-0.1362,0
-0.4272,0.3861,0.2325,1.0089,-0.5450,0.9785,1.7487,0.7213,1
1.0948,-0.7456,-0.6617,-1.8570,0.0957,-0.9737,0.9305,0.0345,1
1.4988,-1.9716,-1.4490,0.8082,-1.3030,-0.3886,0.1296,0.6919,1
-0.9884,0.0894,-0.8729,-1.5615,-0.3095,-1.8910,2.4587,-1.3609,0
1.1164,-0.7391,-0.2177,-0.3577,-1.8095,0.8708,0.3229,0.7060,1
0.2123,0.8640,0.0688,-0.9739,0.0238,-1.8884,-0.0059,0.4134,0
-0.0020,-0.3271,0.6803,-0.2120,2.2815,1.0495,0.2431,0.0628,0
0.0635,0.1927,0.2990,0.4248,-0.6245,-1.1270,0.3100,1.5193,1
0.6752,1.1888,-0.0064,-0.4932,1.0909,-2.3450,0.1775,0.1433,1
-1.9415,-1.0015,-1.6879,1.6815,0.4272,1.2692,0.3617,-0.6524,1
0.7982,-1.0943,2.0808,1.9802,0.1881,-0.9042,-0.8664,0.4185,1
1.0406,0.0829,-1.0641,0.0656,-1.3659,1.6056,-0.5579,0.1442,0
-0.2637,-2.5812,-0.2287,1.8029,-1.1166,-0.2731,-1.4896,0.6382,1
-0.3294,0.6745,0.7414,-0.3229,-1.5873,0.5069,-1.3446,-0.6312,1
1.9195,0.3499,0.2868,0.6282,0.2700,-0.8713,1.1352,-1.0617,1
-1.1325,-0.4141,0.2690,0.6929,-1.0591,0.7060,0.0691,1.1349,1
-0.1767,0.0597,-0.2793,0.9790,0.0621,1.4755,-0.8636,0.9310,1
-1.4773,0.7469,-0.7573,1.3615,-0.0997,0.7544,0.4750,0.4497,0
-0.1098,-2.4525,-0.2394,-0.6066,-0.0576,-0.8025,-1.4292,-0.9018,1
1.8766,-0.2310,-0.2711,0.9066,-0.5061,1.4853,0.2137,0.2180,0
-1.4601,-0.5087,1.4127,1.4356,-2.0271,0.1163,-1.0061,-0.5052,1
-1.4001,2.1847,-0.0310,1.9890,0.2772,0.2415,-1.3101,0.0680,0
1.0571,1.4887,0.4006,-0.1326,0.0145,1.2779,-1.1641,0.6769,0
0.1573,-0.9657,0.7051,-0.4568,-0.8988,-0.5588,-0.3202,-0.1473,0
0.6459,-0.2207,0.3563,1.4259,0.3407,0.5155,0.0652,0.0333,1
-0.4189,-1.0459,0.8071,0.1679,-0.4045,1.9398,0.6574,0.3153,1
0.3298,-1.3613,-1.2335,-1.9760,-1.1180,0.5684,-1.3114,-1.7496,0
0.5428,0.2613,-0.5888,1.5549,-0.7485,-0.3477,1.0846,1.0758,1
1.1026,-0.4152,-0.4092,0.0160,1.0305,0.2636,-0.3332,0.6821,0
0.1978,1.4847,0.8512,-1.0221,1.6868,0.2211,0.5685,-1.1807,0
-1.4271,0.2676,0.5469,-0.3185,-1.2202,-0.7250,-0.4368,0.0227,1
-0.7381,0.4792,0.4688,0.3618,-0.9941,0.6165,-0.5281,-0.8627,0
-0.8343,0.2434,-1.1776,2.3746,-0.9909,0.6809,1.4601,-0.1092,1
